,ID,Path,Asset,Name,Description,Type,Value Unit Of Measure,Datasource Name,Archived,Source Value Unit Of Measure,Datasource ID,Template,Datasource Class,Cache Enabled,Data ID,Sync Token,Unsearchable,Enabled,Maximum Interpolation,Key Unit Of Measure,Cache ID,Interpolation Method,Formula,Formula Parameters,UIConfig
18,497B34FE-391D-4DFE-9F5C-ADD7CCE33DFC,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 4,Operation,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 4 >> Operation,2023-05-10T21:53:03.269723,False,True,2.0,ns,8C716515-C0DB-4BD7-8FF0-7155A969ED71,Step,$signal,['signal=38D0DCD4-1A14-4C16-8C9D-FA902FE2DFA5'],
19,4E4BBE56-3C09-47D7-BBA4-F37370DB0F4B,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 2,Product,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 2 >> Product,2023-05-10T21:53:03.269723,False,True,2.0,ns,93F7046D-9FBA-46BC-BAC1-1260D1563B79,Step,$signal,['signal=365CF2CE-DD90-4745-8C5B-404542040ED1'],
20,50063DB8-6358-4B87-BE3F-B77D9EF749F1,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 1,Impurity 1,,CalculatedSignal,%,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 1 >> Impurity 1,2023-05-10T21:53:03.269723,False,True,2.0,ns,6CAC2D00-E2C9-4C90-BAD1-D742F87D1D50,Linear,$signal,['signal=C674D47D-7BBE-4EC6-A16E-839BFA4484C5'],
21,54D73F5A-9909-4EB0-9280-E8E20C561B38,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 4,Impurity 1,,CalculatedSignal,%,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 4 >> Impurity 1,2023-05-10T21:53:03.269723,False,True,2.0,ns,42A3377F-ED12-4F50-94F3-21213A603E2B,Linear,$signal,['signal=30EE91C5-F755-45F3-BF45-9B113546D8A3'],
22,565C84AD-E0B1-49FB-813A-A31DA75FBA2B,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 1,Solution Concentration,,CalculatedSignal,g/L,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 1 >> Solution Concentration,2023-05-10T21:53:03.269723,False,True,2.0,ns,62553219-4368-4A70-9252-231F9B9A8100,Linear,$signal,['signal=3FE609ED-F356-4E02-9A0C-5883E31CD875'],
23,578DE142-21ED-4D61-BAF6-9056DACD6731,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 3,Downtime Reason Codes,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 3 >> Downtime Reason Codes,2023-05-10T21:53:03.269723,False,True,2.0,ns,0893D729-C83A-446C-81E0-5DBEB4500220,Step,$signal,['signal=1E1F910C-6228-430A-96BD-51171791B6A7'],
24,58F8AD4D-6F40-4339-B191-5267F9FC40A6,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 2,Drug Substance Potency,,CalculatedSignal,%,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 2 >> Drug Substance Potency,2023-05-10T21:53:03.269723,False,True,2.0,ns,0A4A03E6-F051-4D35-876A-6179DCA42327,Linear,$signal,['signal=15CB22C9-933D-49BC-8EC7-D21CA86B77ED'],
25,64966D82-5A59-4B39-84BD-A4C5F321FC58,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 4,Agitation,,CalculatedSignal,rpm,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 4 >> Agitation,2023-05-10T21:53:03.269723,False,True,2.0,ns,BC9A4D54-FA8F-4828-9996-31AB833165C2,Linear,$signal,['signal=D0ECFD11-FEC5-4F0B-B817-5010C3E2E1D8'],
26,659DE8DA-3ADA-4D79-93A6-0D18128CB31D,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 3,Volume,,CalculatedSignal,L,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 3 >> Volume,2023-05-10T21:53:03.269723,False,True,2.0,ns,74799B34-F729-4B4B-A67A-4FADE909B158,Linear,$signal,['signal=D38CCF3F-5493-42B9-8060-E2093E99454E'],
27,77A282AF-9306-4AE1-BA99-A13DFF481C51,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 3,Impurity 1,,CalculatedSignal,%,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 3 >> Impurity 1,2023-05-10T21:53:03.269723,False,True,2.0,ns,D5A9B47C-1DB8-4CF3-82A9-5F5AA7C2439F,Linear,$signal,['signal=E2CA00AB-E2C7-4E6B-8F11-93958E0AB7C3'],
28,7AB05CF5-2E9D-4C66-B090-47C3454AEBEC,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 1,Agitation,,CalculatedSignal,rpm,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 1 >> Agitation,2023-05-10T21:53:03.269723,False,True,2.0,ns,59B5D8C0-5C91-403E-ABD5-641F94D95CAA,Linear,$signal,['signal=51BD3812-1531-4096-95F1-BB13D66C78A6'],
29,8A2A84C8-5F9B-4EE5-8D75-5A55005BECF7,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 3,Raw Material X Potency,,CalculatedSignal,%,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 3 >> Raw Material X Potency,2023-05-10T21:53:03.269723,False,True,2.0,ns,DF366092-30DC-4605-8A54-7EA065D7A09B,Linear,$signal,['signal=2C2820C0-1542-4582-AB89-1EE0BCA61374'],
30,921AFF44-BDB4-4796-80C4-83FD1BD62FB5,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 1,Raw Material X Lot Number,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 1 >> Raw Material X Lot Number,2023-05-10T21:53:03.269723,False,True,2.0,ns,C43D3433-050A-4147-B0A6-8644671539D5,Step,$signal,['signal=424E725E-25C0-4658-95EA-5D64E119ABEC'],
31,9306368F-7AE7-46A6-8BB2-6348907F7A98,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 3,Batch ID,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 3 >> Batch ID,2023-05-10T21:53:03.269723,False,True,2.0,ns,01BADB60-A964-4A4F-8BF4-37D967896C4C,Step,$signal,['signal=0625915A-0EDC-46E8-B63D-91481AA77B31'],
32,93A913E7-0B3F-4E9F-BA37-6E4C2970D3D5,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 4,Product,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 4 >> Product,2023-05-10T21:53:03.269723,False,True,2.0,ns,569F2E24-8A3B-4021-890F-2268AE2FE46D,Step,$signal,['signal=A48ECFD7-3BD3-4CB3-A643-9135CE915325'],
33,963E2CAD-BCE3-41B6-B81D-29577C6E9CB7,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 2,Impurity 1,,CalculatedSignal,%,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 2 >> Impurity 1,2023-05-10T21:53:03.269723,False,True,2.0,ns,5B96FBFD-3F08-4B21-A41B-83C3F13D4984,Linear,$signal,['signal=019050E2-8A62-4AAE-AA9A-2CD4ED64A582'],
34,98CE8E31-9F4C-41B8-9600-3BC380606A3F,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 4,Drug Substance Potency,,CalculatedSignal,%,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 4 >> Drug Substance Potency,2023-05-10T21:53:03.269723,False,True,2.0,ns,9977F2EF-9781-4288-88CB-DC7D216B3298,Linear,$signal,['signal=92D38261-FA4E-42F7-8A12-2E3DB021BD8A'],
35,9B801C22-5C32-49BD-9B77-4D4373DB8580,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 1,Product,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 1 >> Product,2023-05-10T21:53:03.269723,False,True,2.0,ns,5B73D032-C7C1-415B-8BEC-D21AE7D3A4D4,Step,$signal,['signal=EB1DD8E7-F6AA-448A-818E-071282AFDC26'],
36,9D53338E-8468-4BB5-B5F1-C11F3E05D73D,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 2,Volume,,CalculatedSignal,L,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 2 >> Volume,2023-05-10T21:53:03.269723,False,True,2.0,ns,3FE9018C-D35F-44B9-B0D2-9E08B4025E7A,Linear,$signal,['signal=9BF6E596-1178-4456-9989-F57C14AA47FD'],
37,A0DCD987-7E2F-436C-B71A-385224FC05F5,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 2,Raw Material X Lot Number,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 2 >> Raw Material X Lot Number,2023-05-10T21:53:03.269723,False,True,2.0,ns,BF0A59EB-C178-4DBC-875A-8A38D30224E4,Step,$signal,['signal=19F6A02F-EC57-4E29-939D-9E29369A2DD5'],
38,A7D0674A-DFED-463B-8C22-ED8769C89214,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 3,Solution Concentration,,CalculatedSignal,g/L,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 3 >> Solution Concentration,2023-05-10T21:53:03.269723,False,True,2.0,ns,4C3569C6-3FC3-47E5-8044-AB9C3D86B218,Linear,$signal,['signal=A1D69288-C404-492E-9A41-CEBE8B3F4D68'],
39,A7FA21F6-CB55-4F33-90F0-972FD3C04545,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 3,Agitation,,CalculatedSignal,rpm,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 3 >> Agitation,2023-05-10T21:53:03.269723,False,True,2.0,ns,6148D461-9845-4B1D-8883-FDE2FA2E8D12,Linear,$signal,['signal=6A346FC2-61EB-4DF7-BA72-3223140C81A5'],
40,B1332D0A-7EE9-4F3F-A062-52708DB492C8,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 4,Volume,,CalculatedSignal,L,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 4 >> Volume,2023-05-10T21:53:03.269723,False,True,2.0,ns,316D7606-AD42-4BED-B8C9-9CD297B6E2E1,Linear,$signal,['signal=428C1155-BBDA-4F23-9CFE-3944F4564C87'],
41,B3044428-5D42-4CFB-8453-D039DEA120F0,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 4,Phase,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 4 >> Phase,2023-05-10T21:53:03.269723,False,True,2.0,ns,66BA10F7-BB10-43D4-85DB-19427865A926,Step,$signal,['signal=8B367FD5-0B79-4F52-88A5-5D54D809B7C1'],
42,B3049905-FB0E-46C1-8FFF-C79480AC44E2,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 2,Downtime Reason Codes,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 2 >> Downtime Reason Codes,2023-05-10T21:53:03.269723,False,True,2.0,ns,31A7888C-DD16-49D2-A388-BCA7A685975C,Step,$signal,['signal=2C6F152B-511E-4FC0-931A-872138BBD302'],
43,C436FB09-57B0-441C-B788-43D03BD63F36,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 1,Downtime Reason Codes,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 1 >> Downtime Reason Codes,2023-05-10T21:53:03.269723,False,True,2.0,ns,BFF08003-4FD1-405C-82E0-F7280FAD2684,Step,$signal,['signal=72FA0333-D60A-4990-B6D4-FF9939765A65'],
44,C4D95753-A184-4E70-9AB6-D1723F05A6FB,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 4,Solution Concentration,,CalculatedSignal,g/L,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 4 >> Solution Concentration,2023-05-10T21:53:03.269723,False,True,2.0,ns,C4674F8C-705E-4F2F-9F10-3DACA75B02F3,Linear,$signal,['signal=8137AC23-8E52-49BA-B0D8-A267842CD9EE'],
45,C6B0A63D-974C-46B7-BB9D-556FA2AABD4C,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 2,Agitation,,CalculatedSignal,rpm,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 2 >> Agitation,2023-05-10T21:53:03.269723,False,True,2.0,ns,288A6610-BF23-4ADB-A961-75E08AAE5057,Linear,$signal,['signal=6A78DFDA-80FB-454A-AA39-8E30EC0F9AAD'],
46,D02B5EEB-3870-42DB-8D13-63440574F7C6,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 2,Solution Concentration,,CalculatedSignal,g/L,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 2 >> Solution Concentration,2023-05-10T21:53:03.269723,False,True,2.0,ns,215F3DAD-0E03-419B-BD5D-ECF2D2DAA51C,Linear,$signal,['signal=91AFAE71-7B48-4826-B885-0D618FC67ABF'],
