,Bearing Status (F849D807-A0EB-482D-914C-5D18005814EB)
2004-02-13 06:02:39-05:00,0
2004-02-13 06:12:39-05:00,0
2004-02-13 06:22:39-05:00,0
2004-02-13 06:32:39-05:00,0
2004-02-13 06:42:39-05:00,0
2004-02-13 06:52:39-05:00,0
2004-02-13 07:02:39-05:00,0
2004-02-13 07:12:39-05:00,0
2004-02-13 07:22:39-05:00,0
2004-02-13 07:32:39-05:00,0
2004-02-13 07:42:39-05:00,0
2004-02-13 07:52:39-05:00,0
2004-02-13 08:02:39-05:00,0
2004-02-13 08:12:39-05:00,0
2004-02-13 08:22:39-05:00,0
2004-02-13 08:32:39-05:00,0
2004-02-13 08:42:39-05:00,0
2004-02-13 08:52:39-05:00,0
2004-02-13 09:02:39-05:00,0
2004-02-13 09:12:39-05:00,0
2004-02-13 09:22:39-05:00,0
2004-02-13 09:32:39-05:00,0
2004-02-13 09:42:39-05:00,0
2004-02-13 09:52:39-05:00,0
2004-02-13 10:02:39-05:00,0
2004-02-13 10:12:39-05:00,0
2004-02-13 10:22:39-05:00,0
2004-02-13 10:32:39-05:00,0
2004-02-13 10:42:39-05:00,0
2004-02-13 10:52:39-05:00,0
2004-02-13 11:02:39-05:00,0
2004-02-13 11:12:39-05:00,0
2004-02-13 11:22:39-05:00,0
2004-02-13 11:32:39-05:00,0
2004-02-13 11:42:39-05:00,0
2004-02-13 11:52:39-05:00,0
2004-02-13 12:02:39-05:00,0
2004-02-13 12:12:39-05:00,0
2004-02-13 12:22:39-05:00,0
2004-02-13 12:32:39-05:00,0
2004-02-13 12:42:39-05:00,0
2004-02-13 12:52:39-05:00,0
2004-02-13 13:02:39-05:00,0
2004-02-13 13:12:39-05:00,0
2004-02-13 13:22:39-05:00,0
2004-02-13 13:32:39-05:00,0
2004-02-13 13:42:39-05:00,0
2004-02-13 13:52:39-05:00,0
2004-02-13 14:02:39-05:00,0
2004-02-13 14:12:39-05:00,0
2004-02-13 14:22:39-05:00,0
2004-02-13 14:32:39-05:00,0
2004-02-13 14:42:39-05:00,0
2004-02-13 14:52:39-05:00,0
2004-02-13 15:02:39-05:00,0
2004-02-13 15:12:39-05:00,0
2004-02-13 15:22:39-05:00,0
2004-02-13 15:32:39-05:00,0
2004-02-13 15:42:39-05:00,0
2004-02-13 15:52:39-05:00,0
2004-02-13 16:02:39-05:00,0
2004-02-13 16:12:39-05:00,0
2004-02-13 16:22:39-05:00,0
2004-02-13 16:32:39-05:00,0
2004-02-13 16:42:39-05:00,0
2004-02-13 16:52:39-05:00,0
2004-02-13 17:02:39-05:00,0
2004-02-13 17:12:39-05:00,0
2004-02-13 17:22:39-05:00,0
2004-02-13 17:32:39-05:00,0
2004-02-13 17:42:39-05:00,0
2004-02-13 17:52:39-05:00,0
2004-02-13 18:02:39-05:00,0
2004-02-13 18:12:39-05:00,0
2004-02-13 18:22:39-05:00,0
2004-02-13 18:32:39-05:00,0
2004-02-13 18:42:39-05:00,0
2004-02-13 18:52:39-05:00,0
2004-02-13 19:02:39-05:00,0
2004-02-13 19:12:39-05:00,0
2004-02-13 19:22:39-05:00,0
2004-02-13 19:32:39-05:00,0
2004-02-13 19:42:39-05:00,0
2004-02-13 19:52:39-05:00,0
2004-02-13 20:02:39-05:00,0
2004-02-13 20:12:39-05:00,0
2004-02-13 20:22:39-05:00,0
2004-02-13 20:32:39-05:00,0
2004-02-13 20:42:39-05:00,0
2004-02-13 20:52:39-05:00,0
2004-02-13 21:02:39-05:00,0
2004-02-13 21:12:39-05:00,0
2004-02-13 21:22:39-05:00,0
2004-02-13 21:32:39-05:00,0
2004-02-13 21:42:39-05:00,0
2004-02-13 21:52:39-05:00,0
2004-02-13 22:02:39-05:00,0
2004-02-13 22:12:39-05:00,0
2004-02-13 22:22:39-05:00,0
2004-02-13 22:32:39-05:00,0
2004-02-13 22:42:39-05:00,0
2004-02-13 22:52:39-05:00,0
2004-02-13 23:02:39-05:00,0
2004-02-13 23:12:39-05:00,0
2004-02-13 23:22:39-05:00,0
2004-02-13 23:32:39-05:00,0
2004-02-13 23:42:39-05:00,0
2004-02-13 23:52:39-05:00,0
2004-02-14 00:02:39-05:00,0
2004-02-14 00:12:39-05:00,0
2004-02-14 00:22:39-05:00,0
2004-02-14 00:32:39-05:00,0
2004-02-14 00:42:39-05:00,0
2004-02-14 00:52:39-05:00,0
2004-02-14 01:02:39-05:00,0
2004-02-14 01:12:39-05:00,0
2004-02-14 01:22:39-05:00,0
2004-02-14 01:32:39-05:00,0
2004-02-14 01:42:39-05:00,0
2004-02-14 01:52:39-05:00,0
2004-02-14 02:02:39-05:00,0
2004-02-14 02:12:39-05:00,0
2004-02-14 02:22:39-05:00,0
2004-02-14 02:32:39-05:00,0
2004-02-14 02:42:39-05:00,0
2004-02-14 02:52:39-05:00,0
2004-02-14 03:02:39-05:00,0
2004-02-14 03:12:39-05:00,0
2004-02-14 03:22:39-05:00,0
2004-02-14 03:32:39-05:00,0
2004-02-14 03:42:39-05:00,0
2004-02-14 03:52:39-05:00,0
2004-02-14 04:02:39-05:00,0
2004-02-14 04:12:39-05:00,0
2004-02-14 04:22:39-05:00,0
2004-02-14 04:32:39-05:00,0
2004-02-14 04:42:39-05:00,0
2004-02-14 04:52:39-05:00,0
2004-02-14 05:02:39-05:00,0
2004-02-14 05:12:39-05:00,0
2004-02-14 05:22:39-05:00,0
2004-02-14 05:32:39-05:00,0
2004-02-14 05:42:39-05:00,0
2004-02-14 05:52:39-05:00,0
2004-02-14 06:02:39-05:00,0
2004-02-14 06:12:39-05:00,0
2004-02-14 06:22:39-05:00,0
2004-02-14 06:32:39-05:00,0
2004-02-14 06:42:39-05:00,0
2004-02-14 06:52:39-05:00,0
2004-02-14 07:02:39-05:00,0
2004-02-14 07:12:39-05:00,0
2004-02-14 07:22:39-05:00,0
2004-02-14 07:32:39-05:00,0
2004-02-14 07:42:39-05:00,0
2004-02-14 07:52:39-05:00,0
2004-02-14 08:02:39-05:00,0
2004-02-14 08:12:39-05:00,0
2004-02-14 08:22:39-05:00,0
2004-02-14 08:32:39-05:00,0
2004-02-14 08:42:39-05:00,0
2004-02-14 08:52:39-05:00,0
2004-02-14 09:02:39-05:00,0
2004-02-14 09:12:39-05:00,0
2004-02-14 09:22:39-05:00,0
2004-02-14 09:32:39-05:00,0
2004-02-14 09:42:39-05:00,0
2004-02-14 09:52:39-05:00,0
2004-02-14 10:02:39-05:00,0
2004-02-14 10:12:39-05:00,0
2004-02-14 10:22:39-05:00,0
2004-02-14 10:32:39-05:00,0
2004-02-14 10:42:39-05:00,0
2004-02-14 10:52:39-05:00,0
2004-02-14 11:02:39-05:00,0
2004-02-14 11:12:39-05:00,0
2004-02-14 11:22:39-05:00,0
2004-02-14 11:32:39-05:00,0
2004-02-14 11:42:39-05:00,0
2004-02-14 11:52:39-05:00,0
2004-02-14 12:02:39-05:00,0
2004-02-14 12:12:39-05:00,0
2004-02-14 12:22:39-05:00,0
2004-02-14 12:32:39-05:00,0
2004-02-14 12:42:39-05:00,0
2004-02-14 12:52:39-05:00,0
2004-02-14 13:02:39-05:00,0
2004-02-14 13:12:39-05:00,0
2004-02-14 13:22:39-05:00,0
2004-02-14 13:32:39-05:00,0
2004-02-14 13:42:39-05:00,0
2004-02-14 13:52:39-05:00,0
2004-02-14 14:02:39-05:00,0
2004-02-14 14:12:39-05:00,0
2004-02-14 14:22:39-05:00,0
2004-02-14 14:32:39-05:00,0
2004-02-14 14:42:39-05:00,0
2004-02-14 14:52:39-05:00,0
2004-02-14 15:02:39-05:00,0
2004-02-14 15:12:39-05:00,0
2004-02-14 15:22:39-05:00,0
2004-02-14 15:32:39-05:00,0
2004-02-14 15:42:39-05:00,0
2004-02-14 15:52:39-05:00,0
2004-02-14 16:02:39-05:00,0
2004-02-14 16:12:39-05:00,0
2004-02-14 16:22:39-05:00,0
2004-02-14 16:32:39-05:00,0
2004-02-14 16:42:39-05:00,0
2004-02-14 16:52:39-05:00,0
2004-02-14 17:02:39-05:00,1
2004-02-14 17:12:39-05:00,0
2004-02-14 17:22:39-05:00,0
2004-02-14 17:32:39-05:00,0
2004-02-14 17:42:39-05:00,0
2004-02-14 17:52:39-05:00,0
2004-02-14 18:02:39-05:00,0
2004-02-14 18:12:39-05:00,0
2004-02-14 18:22:39-05:00,0
2004-02-14 18:32:39-05:00,0
2004-02-14 18:42:39-05:00,0
2004-02-14 18:52:39-05:00,0
2004-02-14 19:02:39-05:00,0
2004-02-14 19:12:39-05:00,0
2004-02-14 19:22:39-05:00,0
2004-02-14 19:32:39-05:00,0
2004-02-14 19:42:39-05:00,0
2004-02-14 19:52:39-05:00,0
2004-02-14 20:02:39-05:00,0
2004-02-14 20:12:39-05:00,0
2004-02-14 20:22:39-05:00,0
2004-02-14 20:32:39-05:00,0
2004-02-14 20:42:39-05:00,0
2004-02-14 20:52:39-05:00,1
2004-02-14 21:02:39-05:00,0
2004-02-14 21:12:39-05:00,0
2004-02-14 21:22:39-05:00,0
2004-02-14 21:32:39-05:00,0
2004-02-14 21:42:39-05:00,0
2004-02-14 21:52:39-05:00,0
2004-02-14 22:02:39-05:00,0
2004-02-14 22:12:39-05:00,0
2004-02-14 22:22:39-05:00,0
2004-02-14 22:32:39-05:00,0
2004-02-14 22:42:39-05:00,0
2004-02-14 22:52:39-05:00,0
2004-02-14 23:02:39-05:00,0
2004-02-14 23:12:39-05:00,0
2004-02-14 23:22:39-05:00,0
2004-02-14 23:32:39-05:00,0
2004-02-14 23:42:39-05:00,0
2004-02-14 23:52:39-05:00,0
2004-02-15 00:02:39-05:00,0
2004-02-15 00:12:39-05:00,0
2004-02-15 00:22:39-05:00,0
2004-02-15 00:32:39-05:00,0
2004-02-15 00:42:39-05:00,0
2004-02-15 00:52:39-05:00,0
2004-02-15 01:02:39-05:00,0
2004-02-15 01:12:39-05:00,0
2004-02-15 01:22:39-05:00,0
2004-02-15 01:32:39-05:00,0
2004-02-15 01:42:39-05:00,0
2004-02-15 01:52:39-05:00,0
2004-02-15 02:02:39-05:00,0
2004-02-15 02:12:39-05:00,0
2004-02-15 02:22:39-05:00,0
2004-02-15 02:32:39-05:00,0
2004-02-15 02:42:39-05:00,0
2004-02-15 02:52:39-05:00,1
2004-02-15 03:02:39-05:00,0
2004-02-15 03:12:39-05:00,1
2004-02-15 03:22:39-05:00,0
2004-02-15 03:32:39-05:00,0
2004-02-15 03:42:39-05:00,0
2004-02-15 03:52:39-05:00,0
2004-02-15 04:02:39-05:00,0
2004-02-15 04:12:39-05:00,0
2004-02-15 04:22:39-05:00,0
2004-02-15 04:32:39-05:00,0
2004-02-15 04:42:39-05:00,0
2004-02-15 04:52:39-05:00,0
2004-02-15 05:02:39-05:00,0
2004-02-15 05:12:39-05:00,0
2004-02-15 05:22:39-05:00,0
2004-02-15 05:32:39-05:00,0
2004-02-15 05:42:39-05:00,0
2004-02-15 05:52:39-05:00,0
2004-02-15 06:02:39-05:00,0
2004-02-15 06:12:39-05:00,0
2004-02-15 06:22:39-05:00,0
2004-02-15 06:32:39-05:00,0
2004-02-15 06:42:39-05:00,1
2004-02-15 06:52:39-05:00,0
2004-02-15 07:02:39-05:00,0
2004-02-15 07:12:39-05:00,0
2004-02-15 07:22:39-05:00,0
2004-02-15 07:32:39-05:00,0
2004-02-15 07:42:39-05:00,0
2004-02-15 07:52:39-05:00,0
2004-02-15 08:02:39-05:00,0
2004-02-15 08:12:39-05:00,0
2004-02-15 08:22:39-05:00,1
2004-02-15 08:32:39-05:00,0
2004-02-15 08:42:39-05:00,0
2004-02-15 08:52:39-05:00,0
2004-02-15 09:02:39-05:00,0
2004-02-15 09:12:39-05:00,0
2004-02-15 09:22:39-05:00,0
2004-02-15 09:32:39-05:00,0
2004-02-15 09:42:39-05:00,0
2004-02-15 09:52:39-05:00,0
2004-02-15 10:02:39-05:00,0
2004-02-15 10:12:39-05:00,0
2004-02-15 10:22:39-05:00,0
2004-02-15 10:32:39-05:00,0
2004-02-15 10:42:39-05:00,0
2004-02-15 10:52:39-05:00,0
2004-02-15 11:02:39-05:00,0
2004-02-15 11:12:39-05:00,0
2004-02-15 11:22:39-05:00,0
2004-02-15 11:32:39-05:00,0
2004-02-15 11:42:39-05:00,0
2004-02-15 11:52:39-05:00,0
2004-02-15 12:02:39-05:00,0
2004-02-15 12:12:39-05:00,0
2004-02-15 12:22:39-05:00,0
2004-02-15 12:32:39-05:00,0
2004-02-15 12:42:39-05:00,0
2004-02-15 12:52:39-05:00,0
2004-02-15 13:02:39-05:00,0
2004-02-15 13:12:39-05:00,0
2004-02-15 13:22:39-05:00,0
2004-02-15 13:32:39-05:00,0
2004-02-15 13:42:39-05:00,0
2004-02-15 13:52:39-05:00,0
2004-02-15 14:02:39-05:00,0
2004-02-15 14:12:39-05:00,0
2004-02-15 14:22:39-05:00,0
2004-02-15 14:32:39-05:00,0
2004-02-15 14:42:39-05:00,0
2004-02-15 14:52:39-05:00,0
2004-02-15 15:02:39-05:00,0
2004-02-15 15:12:39-05:00,0
2004-02-15 15:22:39-05:00,0
2004-02-15 15:32:39-05:00,0
2004-02-15 15:42:39-05:00,0
2004-02-15 15:52:39-05:00,0
2004-02-15 16:02:39-05:00,0
2004-02-15 16:12:39-05:00,0
2004-02-15 16:22:39-05:00,0
2004-02-15 16:32:39-05:00,0
2004-02-15 16:42:39-05:00,0
2004-02-15 16:52:39-05:00,0
2004-02-15 17:02:39-05:00,0
2004-02-15 17:12:39-05:00,0
2004-02-15 17:22:39-05:00,1
2004-02-15 17:32:39-05:00,0
2004-02-15 17:42:39-05:00,0
2004-02-15 17:52:39-05:00,0
2004-02-15 18:02:39-05:00,0
2004-02-15 18:12:39-05:00,0
2004-02-15 18:22:39-05:00,1
2004-02-15 18:32:39-05:00,0
2004-02-15 18:42:39-05:00,0
2004-02-15 18:52:39-05:00,0
2004-02-15 19:02:39-05:00,1
2004-02-15 19:12:39-05:00,0
2004-02-15 19:22:39-05:00,0
2004-02-15 19:32:39-05:00,0
2004-02-15 19:42:39-05:00,0
2004-02-15 19:52:39-05:00,0
2004-02-15 20:02:39-05:00,0
2004-02-15 20:12:39-05:00,0
2004-02-15 20:22:39-05:00,0
2004-02-15 20:32:39-05:00,1
2004-02-15 20:42:39-05:00,0
2004-02-15 20:52:39-05:00,0
2004-02-15 21:02:39-05:00,0
2004-02-15 21:12:39-05:00,0
2004-02-15 21:22:39-05:00,1
2004-02-15 21:32:39-05:00,1
2004-02-15 21:42:39-05:00,0
2004-02-15 21:52:39-05:00,0
2004-02-15 22:02:39-05:00,1
2004-02-15 22:12:39-05:00,0
2004-02-15 22:22:39-05:00,0
2004-02-15 22:32:39-05:00,0
2004-02-15 22:42:39-05:00,0
2004-02-15 22:52:39-05:00,1
2004-02-15 23:02:39-05:00,0
2004-02-15 23:12:39-05:00,1
2004-02-15 23:22:39-05:00,0
2004-02-15 23:32:39-05:00,0
2004-02-15 23:42:39-05:00,0
2004-02-15 23:52:39-05:00,0
2004-02-16 00:02:39-05:00,0
2004-02-16 00:12:39-05:00,1
2004-02-16 00:22:39-05:00,0
2004-02-16 00:32:39-05:00,0
2004-02-16 00:42:39-05:00,0
2004-02-16 00:52:39-05:00,1
2004-02-16 01:02:39-05:00,0
2004-02-16 01:12:39-05:00,1
2004-02-16 01:22:39-05:00,0
2004-02-16 01:32:39-05:00,1
2004-02-16 01:42:39-05:00,0
2004-02-16 01:52:39-05:00,0
2004-02-16 02:02:39-05:00,0
2004-02-16 02:12:39-05:00,1
2004-02-16 02:22:39-05:00,0
2004-02-16 02:32:39-05:00,1
2004-02-16 02:42:39-05:00,0
2004-02-16 02:52:39-05:00,1
2004-02-16 03:02:39-05:00,1
2004-02-16 03:12:39-05:00,0
2004-02-16 03:22:39-05:00,1
2004-02-16 03:32:39-05:00,0
2004-02-16 03:42:39-05:00,1
2004-02-16 03:52:39-05:00,0
2004-02-16 04:02:39-05:00,0
2004-02-16 04:12:39-05:00,1
2004-02-16 04:22:39-05:00,1
2004-02-16 04:32:39-05:00,1
2004-02-16 04:42:39-05:00,1
2004-02-16 04:52:39-05:00,1
2004-02-16 05:02:39-05:00,1
2004-02-16 05:12:39-05:00,1
2004-02-16 05:22:39-05:00,1
2004-02-16 05:32:39-05:00,1
2004-02-16 05:42:39-05:00,1
2004-02-16 05:52:39-05:00,1
2004-02-16 06:02:39-05:00,1
2004-02-16 06:12:39-05:00,1
2004-02-16 06:22:39-05:00,1
2004-02-16 06:32:39-05:00,1
2004-02-16 06:42:39-05:00,1
2004-02-16 06:52:39-05:00,1
2004-02-16 07:02:39-05:00,1
2004-02-16 07:12:39-05:00,1
2004-02-16 07:22:39-05:00,1
2004-02-16 07:32:39-05:00,1
2004-02-16 07:42:39-05:00,1
2004-02-16 07:52:39-05:00,1
2004-02-16 08:02:39-05:00,1
2004-02-16 08:12:39-05:00,1
2004-02-16 08:22:39-05:00,1
2004-02-16 08:32:39-05:00,1
2004-02-16 08:42:39-05:00,1
2004-02-16 08:52:39-05:00,1
2004-02-16 09:02:39-05:00,1
2004-02-16 09:12:39-05:00,1
2004-02-16 09:22:39-05:00,1
2004-02-16 09:32:39-05:00,1
2004-02-16 09:42:39-05:00,1
2004-02-16 09:52:39-05:00,1
2004-02-16 10:02:39-05:00,1
2004-02-16 10:12:39-05:00,1
2004-02-16 10:22:39-05:00,1
2004-02-16 10:32:39-05:00,1
2004-02-16 10:42:39-05:00,1
2004-02-16 10:52:39-05:00,1
2004-02-16 11:02:39-05:00,1
2004-02-16 11:12:39-05:00,1
2004-02-16 11:22:39-05:00,1
2004-02-16 11:32:39-05:00,1
2004-02-16 11:42:39-05:00,1
2004-02-16 11:52:39-05:00,1
2004-02-16 12:02:39-05:00,1
2004-02-16 12:12:39-05:00,1
2004-02-16 12:22:39-05:00,1
2004-02-16 12:32:39-05:00,1
2004-02-16 12:42:39-05:00,1
2004-02-16 12:52:39-05:00,1
2004-02-16 13:02:39-05:00,1
2004-02-16 13:12:39-05:00,1
2004-02-16 13:22:39-05:00,1
2004-02-16 13:32:39-05:00,1
2004-02-16 13:42:39-05:00,1
2004-02-16 13:52:39-05:00,1
2004-02-16 14:02:39-05:00,1
2004-02-16 14:12:39-05:00,1
2004-02-16 14:22:39-05:00,1
2004-02-16 14:32:39-05:00,1
2004-02-16 14:42:39-05:00,1
2004-02-16 14:52:39-05:00,1
2004-02-16 15:02:39-05:00,1
2004-02-16 15:12:39-05:00,1
2004-02-16 15:22:39-05:00,1
2004-02-16 15:32:39-05:00,1
2004-02-16 15:42:39-05:00,1
2004-02-16 15:52:39-05:00,1
2004-02-16 16:02:39-05:00,1
2004-02-16 16:12:39-05:00,1
2004-02-16 16:22:39-05:00,1
2004-02-16 16:32:39-05:00,1
2004-02-16 16:42:39-05:00,1
2004-02-16 16:52:39-05:00,1
2004-02-16 17:02:39-05:00,1
2004-02-16 17:12:39-05:00,1
2004-02-16 17:22:39-05:00,1
2004-02-16 17:32:39-05:00,1
2004-02-16 17:42:39-05:00,1
2004-02-16 17:52:39-05:00,1
2004-02-16 18:02:39-05:00,1
2004-02-16 18:12:39-05:00,1
2004-02-16 18:22:39-05:00,1
2004-02-16 18:32:39-05:00,1
2004-02-16 18:42:39-05:00,1
2004-02-16 18:52:39-05:00,1
2004-02-16 19:02:39-05:00,1
2004-02-16 19:12:39-05:00,1
2004-02-16 19:22:39-05:00,1
2004-02-16 19:32:39-05:00,1
2004-02-16 19:42:39-05:00,1
2004-02-16 19:52:39-05:00,1
2004-02-16 20:02:39-05:00,1
2004-02-16 20:12:39-05:00,1
2004-02-16 20:22:39-05:00,1
2004-02-16 20:32:39-05:00,1
2004-02-16 20:42:39-05:00,1
2004-02-16 20:52:39-05:00,1
2004-02-16 21:02:39-05:00,1
2004-02-16 21:12:39-05:00,1
2004-02-16 21:22:39-05:00,1
2004-02-16 21:32:39-05:00,1
2004-02-16 21:42:39-05:00,1
2004-02-16 21:52:39-05:00,1
2004-02-16 22:02:39-05:00,1
2004-02-16 22:12:39-05:00,1
2004-02-16 22:22:39-05:00,1
2004-02-16 22:32:39-05:00,1
2004-02-16 22:42:39-05:00,1
2004-02-16 22:52:39-05:00,1
2004-02-16 23:02:39-05:00,1
2004-02-16 23:12:39-05:00,1
2004-02-16 23:22:39-05:00,1
2004-02-16 23:32:39-05:00,1
2004-02-16 23:42:39-05:00,1
2004-02-16 23:52:39-05:00,1
2004-02-17 00:02:39-05:00,1
2004-02-17 00:12:39-05:00,1
2004-02-17 00:22:39-05:00,1
2004-02-17 00:32:39-05:00,1
2004-02-17 00:42:39-05:00,1
2004-02-17 00:52:39-05:00,1
2004-02-17 01:02:39-05:00,1
2004-02-17 01:12:39-05:00,1
2004-02-17 01:22:39-05:00,1
2004-02-17 01:32:39-05:00,1
2004-02-17 01:42:39-05:00,1
2004-02-17 01:52:39-05:00,1
2004-02-17 02:02:39-05:00,1
2004-02-17 02:12:39-05:00,1
2004-02-17 02:22:39-05:00,1
2004-02-17 02:32:39-05:00,1
2004-02-17 02:42:39-05:00,1
2004-02-17 02:52:39-05:00,1
2004-02-17 03:02:39-05:00,1
2004-02-17 03:12:39-05:00,1
2004-02-17 03:22:39-05:00,1
2004-02-17 03:32:39-05:00,1
2004-02-17 03:42:39-05:00,1
2004-02-17 03:52:39-05:00,1
2004-02-17 04:02:39-05:00,1
2004-02-17 04:12:39-05:00,1
2004-02-17 04:22:39-05:00,1
2004-02-17 04:32:39-05:00,1
2004-02-17 04:42:39-05:00,1
2004-02-17 04:52:39-05:00,1
2004-02-17 05:02:39-05:00,1
2004-02-17 05:12:39-05:00,1
2004-02-17 05:22:39-05:00,1
2004-02-17 05:32:39-05:00,1
2004-02-17 05:42:39-05:00,1
2004-02-17 05:52:39-05:00,1
2004-02-17 06:02:39-05:00,1
2004-02-17 06:12:39-05:00,1
2004-02-17 06:22:39-05:00,1
2004-02-17 06:32:39-05:00,1
2004-02-17 06:42:39-05:00,1
2004-02-17 06:52:39-05:00,1
2004-02-17 07:02:39-05:00,1
2004-02-17 07:12:39-05:00,1
2004-02-17 07:22:39-05:00,1
2004-02-17 07:32:39-05:00,1
2004-02-17 07:42:39-05:00,1
2004-02-17 07:52:39-05:00,1
2004-02-17 08:02:39-05:00,1
2004-02-17 08:12:39-05:00,1
2004-02-17 08:22:39-05:00,1
2004-02-17 08:32:39-05:00,1
2004-02-17 08:42:39-05:00,1
2004-02-17 08:52:39-05:00,1
2004-02-17 09:02:39-05:00,1
2004-02-17 09:12:39-05:00,1
2004-02-17 09:22:39-05:00,1
2004-02-17 09:32:39-05:00,1
2004-02-17 09:42:39-05:00,1
2004-02-17 09:52:39-05:00,1
2004-02-17 10:02:39-05:00,1
2004-02-17 10:12:39-05:00,1
2004-02-17 10:22:39-05:00,1
2004-02-17 10:32:39-05:00,1
2004-02-17 10:42:39-05:00,1
2004-02-17 10:52:39-05:00,1
2004-02-17 11:02:39-05:00,1
2004-02-17 11:12:39-05:00,1
2004-02-17 11:22:39-05:00,1
2004-02-17 11:32:39-05:00,1
2004-02-17 11:42:39-05:00,1
2004-02-17 11:52:39-05:00,1
2004-02-17 12:02:39-05:00,1
2004-02-17 12:12:39-05:00,1
2004-02-17 12:22:39-05:00,1
2004-02-17 12:32:39-05:00,1
2004-02-17 12:42:39-05:00,1
2004-02-17 12:52:39-05:00,1
2004-02-17 13:02:39-05:00,1
2004-02-17 13:12:39-05:00,1
2004-02-17 13:22:39-05:00,1
2004-02-17 13:32:39-05:00,1
